query,ids
0,[18367 17832   875  4569  1664  6021 17951 20029 14279 14308]
1,[13039 16440  5048  7525  2729 13879 15193  8662  4870 22609]
2,[18602 16044 17220  8987 18060  9469 20418  5736  7400  8351]
3,[16792  8102  8074 22120 13116 18111 17763  9388 18577 20414]
4,[16076 19079 10739 15845 12851 22117 12178  2714 16654 22211]
5,[  846  7670  8795  7074 21654 11507 21720 13082  5873 21719]
6,[18705 17078 18367 19675 19603  4569 13811 19389 19659  2151]
7,[ 7462  5829  4424 16021  8343  2729  6260  6210 16130  7180]
8,[ 3211 14739 22595 20088 13607  5836 17342 14130  8715  2722]
9,[ 4888 15770 10881 10105  5034 18560 14607  4982  9685 13092]
10,[20344  5003  4200 13986  9325 16766  7768  7780  9388  1332]
11,[15226  7158 19992  4242 16915  8259 22493  5047 22498 17246]
12,[ 6061 19599   841 16932  4644 17430  4194 11773 11894  4548]
13,[22700 12747 15087 18292  5916 20881  1301 19870 19595  2720]
14,[ 7598 19497  3429 16916  6924  7466 19655 21265 21513  7073]
15,[11964  7478  8179  2740  8949 16931 19513  6784 11985  6532]
16,[10147  9483 18115 22211  2326  2714 12178 17753  1864  2716]
17,[12664 17249  6559 17974 10886  5362 17149 20287 13057  9079]
18,[19667 20108 20360 11022  2608 19941  4878  7728 16639 17931]
19,[17869 22621 23084 21702 21503 10778 21634 22709 21238 22645]
20,[ 2508  6972  9555 13155  8860 15881 16586 16989  6775  7558]
21,[ 1593 13141 20361  1638  6117  1937  6526 13140 19809 20102]
22,[ 1893  8432 11652 21288  3850  3851  3152 10391 17897  8713]
23,[ 2815  5751  8525  5311  7952  8966 15526 15215  6834 10263]
24,[21211 21828 15281  7822  6775  9146 13383  9814 16168 16076]
25,[ 9696 19018  8131  6034  2323  3821 19117 12683 22073 10933]
26,[ 7671  8965  6834  7952 20055 20560  3022 13692  3713  9074]
27,[13717 21458 20129  4110  3785  1614 10275 11167 19565 18040]
28,[18088 19590  6878  6678 16476  8362 10474  6220  1930 11252]
29,[ 4327 10618  9810 21703 15613  1344  6918 13652  6644 20810]
30,[16488 19737  5176 12947    39   897 16343 17143 10854  7517]
31,[18094  9960  2331 18100  1216 14315 22826 21930 21367  8840]
32,[15285 12920 10894 10638 20560  8271  6216 18125  5309 21995]
33,[ 6326 17341  3055  8880  6942  7661 11454 18432  6689 14575]
34,[12218 17843 19962 16908   615  7407  4860 22211   888 14676]
35,[13383 17226  1966  6775  4132 12566  1009  7822 19012  5736]
36,[ 1924 22563 18492 12357  8751  2510  6435  6363  2602  4994]
37,[ 9087 11314 13298 13311 13151 17813  6925  5769 13621 12709]
38,[11169  2716  2714 13985  2736  3695  5132 17234  2701 21394]
39,[14323 16447 19867 15870 15656 20053 10393 15308 16130 16315]
40,[ 8651  5051  4349  4745 15286 20206  9070 13834   785 19531]
41,[13930  6653  7806  5407  2357 11002  2141  8082 10106  8472]
42,[20016  7387 13064 10365 17334 22284 12106 12117 19244  3244]
43,[ 9632 13041 12123 11498 10511 15000  5659  2512 17786 18474]
44,[ 9459 21255 11867  3705 17752   900  8065 19100 19457 17515]
45,[ 4157 15601  3010  2729 16553  2707 11267  8343 20970 15656]
46,[ 8662 22790 13955 16544 16207 17220 16347  9751 13371 16757]
47,[21287  9597 14254 12495  5693 13467 20408 18623  7797  9670]
48,[ 8081  2151 19603 11523  8914  4474 14712 14018 17078  4615]
49,[ 8504 15777 21780 18858 15208 22309 21001 14368  4335 19137]
50,[ 7670 21654   846  9866 11988 21182 22115 13082  7774  7074]
51,[16692 10767  5571  3701 16691  5959 21387 12015 14680  5590]
52,[10106  4368  7806 19605  3670 13398  5902 12794 21308 12207]
53,[ 4032 16581  8783  6715  8197  9209 10510  5736  9469 13532]
54,[18576  1567  6446 16030  1485 14320 19004  5769  9693 17291]
55,[18879 17839 10005 20200  2512 13413 15582  6038  2444 14986]
56,[17519 18393 23080  8713 17880 22430 20879  5362 21907 10689]
57,[ 3438  3435  4779  2705 21211 20816 18764 11982 20129  2236]
58,[ 6934 15402 12600  9546 15507  6979  5177 18820  7030  8377]
59,[15342 16551 16510 20203 13955 16193 16347 19739  5031 16206]
60,[ 8145  9483 20523 11008 17180  8546 17843 10147  7407 10487]
61,[17178 14716 19193 11385 19377  8949 21790 11856 22923 16873]
62,[15362  8222 21069 21952  1754 16876  7765 16339  2905 13585]
63,[19050  1649 19947 11525 12228 10048  9628  3076  4147 10290]
64,[15342 16193  7550  7400 20203 13371 16820 19548  5736 16426]
65,[13811  4391 18758  4318 13791  9164 18597  8531 16273 22468]
66,[11488 16775  1968  4836 18274 14739  4059 19548 13104  2695]
67,[ 5622 10071 11528  4969 13822 12924  8817 15746   925 13994]
68,[ 5655 13577 13039  9814  9322 20677 18040  3735  8481  6689]
69,[ 7207 10119 16233  7246 13623 15823  7019 12798 11768 21453]
70,[ 1683 16295  4093  5015 15644 22611 13120 13955 16223 12648]
71,[13451  5644 18597  9467 20713  4391  4745 13811 11741 21447]
72,[22115   846 13082 18364 18612 18606 10839  7670  7074  5873]
73,[15771  4445  2610 17296 22551 16930  4978  3192  7550 11358]
74,[ 7628 20326 20837 18819  1924 11629 19545 20669  4924  4582]
75,[18695 19036 10739  7822  2245 17772  3198  3631 11740 20356]
76,[14132  3744  7220 16031 11402  8906  1136  6003 14967 17549]
77,[13383  8630  3269  8530 20603 15997 17341  2623  7071 13550]
78,[ 3851 10830 19047 13706  3850 13007 17897  8212  7767  9067]
79,[16193 20964 15342  3029 16295 13017 20203 16546  8833 13371]
